FIPS,TOTAL
1001.0,28
1003.0,67
1005.0,9
1007.0,13
1009.0,23
1011.0,17
1013.0,40
1015.0,59
1017.0,43
1019.0,14
1021.0,31
1023.0,12
1025.0,16
1027.0,12
1029.0,7
1031.0,9
1033.0,27
1035.0,13
1037.0,3
1039.0,29
1041.0,30
1043.0,23
1045.0,51
1047.0,27
1049.0,26
1051.0,52
1053.0,28
1055.0,49
1057.0,12
1059.0,31
1061.0,7
1063.0,16
1065.0,29
1067.0,6
1069.0,32
1071.0,14
1073.0,371
1075.0,5
1077.0,40
1079.0,30
1081.0,66
1083.0,27
1085.0,27
1087.0,19
1089.0,92
1091.0,21
1093.0,29
1095.0,48
1097.0,313
1099.0,9
1101.0,196
1103.0,32
80001.0,0
1105.0,6
1107.0,17
1109.0,12
1111.0,14
1113.0,3
1117.0,60
1115.0,42
1119.0,21
1121.0,34
1123.0,86
1125.0,132
90001.0,0
1127.0,92
1129.0,12
1131.0,12
1133.0,13
2013.0,0
2016.0,0
2020.0,40
2050.0,0
2060.0,0
2068.0,0
2070.0,0
2090.0,12
2100.0,0
2105.0,0
2110.0,3
2122.0,4
2130.0,0
2150.0,0
2158.0,0
2164.0,0
2170.0,3
2180.0,0
2185.0,0
2188.0,0
80002.0,0
2195.0,1
2198.0,0
2220.0,0
2230.0,0
2240.0,0
90002.0,0
2261.0,1
2275.0,0
2282.0,0
2290.0,2
60.0,0
4001.0,167
4003.0,73
4005.0,147
4007.0,63
4009.0,26
4011.0,2
4012.0,16
4013.0,3500
4015.0,229
4017.0,236
80004.0,0
4019.0,633
4021.0,213
4023.0,64
90004.0,0
4025.0,86
4027.0,351
5001.0,11
5003.0,12
5005.0,7
5007.0,102
5009.0,27
5011.0,8
5013.0,0
5015.0,12
5017.0,22
5019.0,5
5021.0,11
5023.0,14
5025.0,12
5027.0,19
5029.0,3
5031.0,34
5033.0,24
5035.0,51
5037.0,20
5039.0,5
5041.0,7
5043.0,7
5045.0,27
5047.0,2
5049.0,8
5051.0,58
5053.0,4
5055.0,15
5057.0,5
5059.0,30
5061.0,13
5063.0,36
5065.0,1
5067.0,5
5069.0,97
5071.0,8
5073.0,3
5075.0,14
5077.0,18
5079.0,17
5081.0,29
5083.0,2
5085.0,21
5087.0,6
5089.0,2
5091.0,15
5093.0,58
5095.0,0
5097.0,8
5099.0,14
5101.0,19
5103.0,7
80005.0,0
5105.0,0
5107.0,15
5109.0,2
5111.0,16
5113.0,4
5115.0,36
